username,avg_comments_12,avg_likes_12,comment_like_ratio,low_comment_post_rate,community_signal,running_hashtag_rate
coeweonyeong745,1.0,8.0,0.125,1.0,-0.2444,0.0
kyounga0575,0.8,5.0,0.16,1.0,-0.3322,0.0
misty01142,0.0,0.8,0.0,1.0,-1.0,0.0
dashmix11,0.0,0.0,0.0,1.0,-1.0,0.4
hh_i82,0.2,2.2,0.0909,1.0,-0.7722,0.0
1111kkkjk,0.4,8.2,0.0488,1.0,-0.6391,0.2
boru_s2,10.5,120.0,0.0875,0.75,1.7361,0.0
jjjlovemato82,0.4,0.0,0.0,1.0,-0.6635,0.0
2847ha,0.0,0.8,0.0,1.0,-1.0,0.0
jyk712712,0.0,1.2,0.0,1.0,-1.0,0.0
gingi.2,0.0,3.4,0.0,1.0,-1.0,0.0
jameica_zebra,18.2,223.4,0.0815,0.4,2.5956,0.8
rkgusqls,50.2,138.0,0.3638,0.0,4.1176,0.0
290700_j,0.2,5.8,0.0345,1.0,-0.8004,0.2
loveberry08,0.0,0.6,0.0,1.0,-1.0,0.0
cooo_kiee,2.4,37.4,0.0642,0.6,0.6559,0.0
haahahawon88,30.6,627.0,0.0488,0.0,3.4776,0.0
meriel16552,8.8,46.0,0.1913,0.4,1.978,0.8
poesjin,12.0,56.0,0.2143,0.4,2.2721,0.8
proudjunsu,1.8,64.4,0.028,0.8,0.2436,0.0
bangsusan,0.6,12.0,0.05,1.0,-0.505,0.8
cheri.u22,28.2,84.8,0.3325,0.0,3.5404,0.0
lee.hyunsil,0.0,0.0,0.0,1.0,-1.0,0.0
alphagirl282,0.4,26.6,0.015,1.0,-0.656,0.0
americano_indian,0.2,8.6,0.0233,1.0,-0.8061,0.0
minvelyss,0.0,13.0,0.0,1.0,-1.0,0.0
ahn_sung_hyun91,2.0,7.0,0.2857,0.6,0.6415,0.6
isu_photo,1.4,10.2,0.1373,0.8,0.1441,0.4
roun2ee,17.6,0.0,0.0,0.4,2.5232,0.0
niemand0621,0.2,3.8,0.0526,1.0,-0.7914,0.0
qwoow1_,0.0,316.0,0.0,1.0,-1.0,0.0
beakjungyoul,32.4,310.0,0.1045,0.2,3.3608,1.0
katarinao0,0.0,1.8,0.0,1.0,-1.0,0.0
qazy_o_o,36.4,136.5,0.2667,0.0,3.755,0.0
starry_night3081,0.4,9.6,0.0417,1.0,-0.6427,0.0
ssujeong_ee,4.0,40.4,0.099,0.6,1.0589,0.4
sandai_drama,0.8,9.0,0.0889,1.0,-0.3678,0.4
dangeun._.baby,3.2,10.4,0.3077,0.8,0.7889,0.0
greeny_hj,9.2,44.0,0.2091,0.2,2.2269,0.0
yourim6350,2.2,15.4,0.1429,0.8,0.4346,0.0
zzong_hyun,27.8,0.0,0.0,0.0,3.3604,0.8
ohhea_gold,15.4,305.0,0.0505,0.2,2.6225,0.0
jejurunningman,28.0,292.2,0.0958,0.4,3.0152,1.0
run.shoko,22.25,239.25,0.093,0.0,3.1928,0.75
bom.bom5,10.0,121.8,0.0821,0.0,2.4389,0.0
choux.makeup,50.2,70.2,0.7151,0.2,4.0933,0.0
dongwan_91,11.2,339.6,0.033,0.4,2.1179,0.6
bhr12_16,0.0,1.8,0.0,1.0,-1.0,0.0
