username,post_date,caption,like_count,comment_count,media_type,hashtags,post_url
run.shoko,2025-07-25 03:01:11+00:00,"백마일러가 되는 순간

선정이와 끈끈한 전우가 되었다
@ziguhanbaki

막판에 컷오프 쫓겨서 선정이를 막 몰아붙이며 뛰게 했는데 ㅋㅋ 선정아 미안해 
(눈으로 욕하는거 봤지만 모른척할께 ㅋㅋㅋ)

#총리100마일 #트레일러닝 #백마일러",469,33,Video,"['총리100마일', '트레일러닝', '백마일러']",https://www.instagram.com/p/DMg87RwzTjj/
run.shoko,2026-01-01 15:43:05+00:00,"20260101

장거리 트런에서 후반부에 무너지지 않으려면
코어의 힘은 필수지

#러닝보강운동",109,6,Video,['러닝보강운동'],https://www.instagram.com/p/DS-TX9GE1Rj/
run.shoko,2025-12-29 05:03:00+00:00,"20251229

나에게 맞는 보강운동 찾기

고피디님 @kowonkyo 이 알려주신 방식으로 힘을 주는 위치도 바꿔보고 상체도 더 세워보려 노력했다

스트레칭룸에서 먼저 브릿지로 둔근을 활성화시킨 후 스탭박스를 조금 더 높여서 동작을 수행해보니 배로 힘드네 ㅎㅎ

아직 어설프지만 꾸준히 해보자!

UTMB FINAL D-242",117,12,Video,[],https://www.instagram.com/p/DS1bZKhkatC/
run.shoko,2025-12-11 00:18:18+00:00,"CHIANGMAI by UTMB
Chiang dao 160
7월 중국 총리에 이은 나의 두번째 백마일 완주

이전 대회에서의 부상으로 완주가 불투명한 상태에서 
자의로 DNF하지 않겠다고 다짐하며 레이스에 임했고
포기한다는 생각 자체를 하지 말라던 승태  @ultrast_k 의 응원이 힘든 순간마다 나를 계속 나아가게 했다

초반에는 몸을 끌어올리며 cp 도착시간을 단축시키는데 주력했다 물에 계속 빠져 물집이 잡히는게 느껴졌지만 참고 첫번째 드랍백에 무사히 도착. 시간여유가 있어 온 몸을 닦고 속옷부터 신발까지 싹 체인지. 챙겨온 라면도 먹고 주변 여성 러너들이 you! so clever! 라 외치던 옷 갈아입는 방법까지 공유하고 이름도 교환하면서 잘 쉬고 출발

아니 그런데 얼마 안 지나 물이랑 진흙 구덩이에 또 빠뜨리네? 나 왜 양말 신발 갈아신은거야?
순간 짜증이 올라왔지만 그래 이것도 레이스의 일부이지..이 리얼 야생을 즐기자 생각하며 계속 전진.

다행히 음식이 잘 맞아서 매 cp 마다 신나게 먹으면서 갈 수 있었다. 바나나잎에 싼 찰밥이 어찌나 맛나던지 레이스 내내 열일곱개나 먹었더라 ㅋㅋ 스파게티 국수 밥종류 따끈한 국물 새우만두? 수박 바나나 과자 말린과일 초코렛 사탕까지 맛없는게 없었다 천국의 뷔페 아니던가! 매 cp마다 플라스크에 물 채우면서 올라 하이포토닉을 계속 섞어줬는데 이게 내 컨디션 조절에 큰 영향을 미쳤다. 쥐나 심한 갈증을 예방해줬고 맛도 있어서 물을 적당량 섭취하는데 도움이 됐다

첫날 밤은 졸리는 기분 없이 무사통과. 속도도 붙어 힘차게 나아갔다. 해가 뜨고 시간이 지나면서 점점 지쳐가던 가운데 두번째 드랍백 도착. 여기서도 몸을 닦고 속옷부터 싹 체인지. 물집이 심하게 잡히고 발 여기저기가 까져서 응급조치하고 테이핑을 새로 교체했다. 신라면을 챙겨먹고 비닐깔고 바닥에 누워서 자고있는데 방금 들어온 선수가 내 배번을 자꾸 쳐다보더니 출발한다. 별 생각없이 남편한테 전화했는데 내가 연대별 3등으로 드랍백에 도착했는데 4,5등이 cp 들어오자마자 출발해서 5등으로 밀렸다고..ㅋㅋ 그들보다 20여분 늦게 드랍백을 빠져나와 나만의 레이스 다시 시작. 그러다 cp13 도착 1키로 전 그녀들을 다시 제끼고 3등으로. 

두번째 밤이 찾아오고 그 때 부터 정신을 못 차릴 정도로 잠이 쏟아졌다. 그냥 아무데나 드러누우려고 하니 바닥에 지네랑 개미떼가 우글우글. 아 졸려 아 미치겠다 아 자고싶어 큰소리로 중얼거리면서 산을 오르다 종두님을 만나 이야기하면서 동반주. cp14지나 도저히 잠을 못 참아서 산에서 서바이벌블랭킷 뒤집어 쓰고 30여분간 완벽한 취침. 이미 4위 선수가 나를 지나쳤다. 자고 일어나니 풀파워 충전.신나게 산을 오르는데 저 앞에 4위였던 중국선수가 보인다. 내가 그녀를 지나쳐가며 속도를 올리니 뒤에 바짝 붙네? 평소 순위나 기록 욕심이 없는 나였지만 이 순간만큼은 이 선수의 기를 죽여 나를 쫓아오려는 의지를 밟아야겠다는 생각이 들었다 그래서 다운힐쫄보가 7월 중국대회에서 컷오프에 쫓겨 다운힐을 날라갔던 것처럼 이번에도 다운힐을 풀파워로 날라가 그녀를 떼어내기 성공ㅋㅋ

마지막 cp에 무사히 도착하여 마지막 식사와 정비를 하며 좀 쉬다가 다시 출발. 그리고 악몽의 다운힐 ㅜㅜ 여기는 겁이 많은 내가 내려가기에는 너무 무서워서ㅜㅜ 거의 기어내려간 듯. 1키로 가는데 20분씩 걸릴 정도로 벌벌벌. (다운힐 실력을 키워야하는데 겁이 너무 많아서 쉽지 않다)

질리도록 안 끝나던 다운힐도 끝나고 약간의 로드 구간을 지나 드디어 피니쉬! 연대별3위로 UTMB FINAL 직행티켓을 따냈다! (기록이나 전체 순위는 형편없지만 운이 꽤 좋았다)

백마일은 쉽게 볼 거리가 아니다. 그간 열심히 훈련했지만 본래 운동을 잘 하는 사람도 아니고 건강하지도 않다보니 대회 내내 생명력을 갉아먹는 기분. 너무 힘들고 고통스러운데 내년에 또 백마일 신청하겠지 ㅎㅎ

일단 UTMB 준비나 열심히 해야겠다

응원해주시고 도와주신 분들
저의 입상에 자기일처럼 흥분하고 기뻐해주신 분들께 감사인사를 전합니다
그리고 첫 해외대회 연대별4위로 완주한 사랑하는 남편의 끊임없는 지원과 사랑에 다시한번 무한 애정을 보냅니다

이제 저도 UTMB 갑니다! 꺄오

#올라하이포토닉100 #올라뉴트리션 #저삼투압
@ollla_nutrition

상의 on/아식스/펠리엇
하의 아디다스
신발 텍톤2/프로디지오/스피드고트3",262,38,Sidecar,"['올라하이포토닉100', '올라뉴트리션', '저삼투압']",https://www.instagram.com/p/DSGk-PtE6_Q/
cooo_kiee,2025-12-10 08:53:54+00:00,귀여운쿠키🐶🍪🐶🍪 점점 더 귀여워지는 쿠키🤎,10,0,Sidecar,[],https://www.instagram.com/p/DSE7LsOEv50/
cooo_kiee,2025-12-10 08:45:01+00:00,"#라라매듭 반지💍감사합니다! 새끼손가락에 같이 껴보니 들어가 착용해보았어요!
진짜 반지를 착용한걸 잊을정도로 가볍고 느낌이 없어요.
따뜻한색감에 데일리로 최고💕",8,1,Image,['라라매듭'],https://www.instagram.com/p/DSE6KonkhWf/
cooo_kiee,2025-12-02 15:53:59+00:00,쿠키🐶🍪,10,4,Sidecar,[],https://www.instagram.com/p/DRxE5cSkoUz/
cooo_kiee,2023-04-17 04:37:23+00:00,#쿠키#푸들#poodle#poodles #귀여워,90,7,Image,"['쿠키', '푸들', 'poodle', 'poodles', '귀여워']",https://www.instagram.com/p/CrH8V9ypLk9/
cooo_kiee,2023-11-04 14:50:37+00:00,#개깜놀ㅋㅋㄱ#아기와강아지 #푸들스타그램,69,0,Video,"['개깜놀ㅋㅋㄱ', '아기와강아지', '푸들스타그램']",https://www.instagram.com/p/CzOmFyapkWF/
ssujeong_ee,2025-10-27 06:33:48+00:00,뛰비엔 덕분에 칼퇴런🏃‍♀️ #뛰비엔퇴근run #같이달려tvn,12,3,Video,"['뛰비엔퇴근run', '같이달려tvn']",https://www.instagram.com/p/DQTYKTliYqy/
ssujeong_ee,2025-12-22 13:09:27+00:00,"25.12.21 #덕유산 💕
상고대가 너무 신기해❄️ 겨울산에서 먹는 컵라면에 밤하늘 가득한 별까지✨️",33,2,Sidecar,['덕유산'],https://www.instagram.com/p/DSkR93_iTZN/
ssujeong_ee,2025-12-14 07:31:50+00:00,"25.12.14
오뎅 맛집! 막걸리 못 먹어서 아쉽다ㅠ
생각보다 덜 추워서 날씨는 뛸만했다! 그냥 내가 힘든거였다!🤣

#기장군육상연맹마라톤대회 #🏃‍♀️",53,4,Sidecar,"['기장군육상연맹마라톤대회', '🏃\u200d♀️']",https://www.instagram.com/p/DSPE-K7CdLq/
ssujeong_ee,2025-11-16 08:17:15+00:00,"25.11.16 첫 10km 마라톤! 56분 목표였는데 아주 만족~ 곶감도 주고 닭가슴살도 주고 오뎅탕도 먹고 짱!

#상주곶감마라톤 #🏃‍♀️",64,8,Sidecar,"['상주곶감마라톤', '🏃\u200d♀️']",https://www.instagram.com/p/DRHD6VTiWAW/
ssujeong_ee,2025-11-18 23:27:48+00:00,"상주&문경 나들이💕 햇빛받은 단풍이 미쳤다🍁🍁

#경천섬공원 #문경새재",40,3,Sidecar,"['경천섬공원', '문경새재']",https://www.instagram.com/p/DRN1tJCEiw7/
young0850,2025-12-28 11:08:42+00:00,"#배구
#정관장
#IBK기업은행
#알토스
처음으로 배구경기 직관 ~ 너무 재잇잖아♡
비록 정관장이 졌지만 즐거웠다^^
2026년 1월에도 직관 가보자^^♡",3,0,Sidecar,"['배구', '정관장', 'IBK기업은행', '알토스']",https://www.instagram.com/p/DSzg6xVkc5m/
young0850,2025-12-24 09:31:52+00:00,"#이벤트
모두해피크리스마스♡
#크리스찬양",3,0,Image,"['이벤트', '크리스찬양']",https://www.instagram.com/p/DSpCqCtEQWb/
young0850,2025-12-26 03:03:32+00:00,"든든한게 맛있게 먹었다♡
트렌스지방,콜레스트롤 걱정없이 
이제 면요리도 즐길수있다 ♡
오늘도 행복한 한끼를 마쳤다~^^
#제품협찬
#한국제면",4,0,Sidecar,"['제품협찬', '한국제면']",https://www.instagram.com/p/DStfzkiCe23/
young0850,2026-01-06 04:07:48+00:00,"세탁망이 이렇게 정교해도되나 싶을정도로 너무 튼튼하고 
세밀합니다^^ 수많은 세탁망을 사용해보았지만 처음인거같아요
세탁물을 넣고 세탁시에 때는 잘빠지고 원단손상은 없는것이 
너무 신기합니다 아이교복을 세탁시에 일반 세탁망에 넣고 
세탁시 너무많이 후들거려지는데 #문스앤 세탁망은 전혀그렇지
않더라구요 카라 손목때도 잘빠집니다 ♡
사이즈도 다양하고 이중망이여서 교복치마,가디건,바지,체육복등
교복세탁시 다양하게 구김걱정없이 좋은기회로 좋은제품 제공받아서 사용할수있게 되어서 너무감사합니다 
#이중망 #모든소재무형광 #변형방지 #다양한사이즈 
제품협찬감사합니다♡♡",1,0,Sidecar,"['문스앤', '이중망', '모든소재무형광', '변형방지', '다양한사이즈']",https://www.instagram.com/p/DTJ752PEfPf/
young0850,2026-01-01 08:11:34+00:00,"#삽립호빵
#이벤트
나의 새해첫맛이다 맛나는 이야기♡",2,1,Image,"['삽립호빵', '이벤트']",https://www.instagram.com/p/DS9f09KkcKd/
ekf74,2025-08-22 12:29:56+00:00,"맛있게 잘먹을게^^
#널담 #마카롱 #친구선물 #널담_마카롱 #디저트 #친구야고마워",2,0,Sidecar,"['널담', '마카롱', '친구선물', '널담_마카롱', '디저트', '친구야고마워']",https://www.instagram.com/p/DNqEdtzyzK9/
ekf74,2025-09-03 13:49:55+00:00,"#청수식품 #청수식품비빔국수 #비빔국수
먹기좋은 1인분 청수식품 비빔국수 매콤하고 맛있어요^^",4,0,Sidecar,"['청수식품', '청수식품비빔국수', '비빔국수']",https://www.instagram.com/p/DOJHKFDEjW-/
ekf74,2025-09-27 10:22:07+00:00,"#무료제공 #제품제공
#맥스웰하우스 #맥스웰하우스헤이즐넛블랙  #헤이즐넛블랙 
#커피 #맛있는커피 
맥스웰하우스 헤이즐넛 블랙! 달달하고 향도 좋은 맛있는 커피
계속 마시게 되네요^^",9,0,Image,"['무료제공', '제품제공', '맥스웰하우스', '맥스웰하우스헤이즐넛블랙', '헤이즐넛블랙', '커피', '맛있는커피']",https://www.instagram.com/p/DPGidC5kgYE/
ekf74,2025-09-11 05:46:10+00:00,"이번엔 원형 사용해보자^^
#정별꼬리_팔팔이 #고양이 #반려묘 #스크래쳐",6,0,Sidecar,"['정별꼬리_팔팔이', '고양이', '반려묘', '스크래쳐']",https://www.instagram.com/p/DOc2J-RkhoC/
ekf74,2025-09-06 11:42:04+00:00,"별이♡
#정별꼬리_팔팔이 #고양이 #반려묘 #노묘 #노묘일상",5,0,Sidecar,"['정별꼬리_팔팔이', '고양이', '반려묘', '노묘', '노묘일상']",https://www.instagram.com/p/DOQm6Qfko12/
kor_7791,2025-12-21 06:24:48+00:00,,1,0,Image,[],https://www.instagram.com/p/DSg-3QjE-tj/
kor_7791,2025-12-21 06:25:03+00:00,,1,0,Image,[],https://www.instagram.com/p/DSg-5FIk2Si/
kor_7791,2025-11-29 08:24:28+00:00,,3,0,Image,[],https://www.instagram.com/p/DRojEd2k7yR/
kor_7791,2025-12-21 06:25:34+00:00,,2,0,Image,[],https://www.instagram.com/p/DSg-884EwZn/
kor_7791,2025-12-21 06:25:16+00:00,,2,0,Image,[],https://www.instagram.com/p/DSg-6xXE2G3/
sh.ane5651,2025-12-23 02:10:24+00:00,"추운 아침 서울영화센터를 찾아가 봤어요. 1층에 들어서니 몇몇 분이 상영 영화를 예매하고 계시네요. 전 4층으로 고고!!!
🎬🎬🎬🎬🎬🎬🎬🎬🎬🎬🎬🎬🎬
입구에 살짝 굿즈들이 있고 전시관에 들어서니 먼저 레트로 풍의 사진관과 음식점이 보이고 다음엔 침실과 거실 역시 레트로 한 것이 어린시절 생각 폴폴나네요. 
🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤
벽마다 여러 일러스트 작가들의 멋진 작품들이 장소에 맞게 전시되어 재미가 쏠쏠해요. 하나하나 자세히 둘러보고나면 마지막엔 포토존!!! 사진 팡팡!!!! 간만에 영화 기분 흠뻑 느끼고 왔어요. 
🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧

#서울영화센터 #서울영화센터팝업 #서울영화센터전시 @seoulfilmcenter",4,0,Sidecar,"['서울영화센터', '서울영화센터팝업', '서울영화센터전시']",https://www.instagram.com/p/DSlrV0zCa08/
sh.ane5651,2025-12-28 01:00:24+00:00,"잃어버린 행운 보관소라는 이름이 궁금해 찾아간 곳은 원항아리라는 작은 카페였습니다. 
<LOST AND LUCKY>
영천시장 옆 작은 골목이라 찾기 쉬운 곳은 아니었지만 셜록 홈즈처럼 찾아갔죠 ㅎㅎ
🔮🔮🔮🔮🔮🔮🔮🔮🔮🔮🔮🔮🔮

토요일 단 9시간만 열리는 행운의 전당포에 도착하니 썰렁한 외관과 달리 안은 만원이네요^^
잃어버린 ’행운의 부적‘이 모여드는 비밀스러운 전당포답게 들어서자마자 질문용지 작성!
📝📝📝📝📝📝📝📝📝📝📝📝📝

✓ 나는 무엇을 잃어버렸는가?
✓ 지금 나에게 가장 필요한 행운은 무엇인가?
답에따라 여러 작가의 작품이 숨겨진 행운의 부적을 받게되요. 한해를 보내며 삶을 돌아보고 희망찬 새해를 맞이하는 행운을 찾아서….
💌💌💌💌💌💌💌💌💌💌💌💌💌

#MINDBOOM #잃어버린행운보관소 #행운전당포 @opqrstae",3,0,Sidecar,"['MINDBOOM', '잃어버린행운보관소', '행운전당포']",https://www.instagram.com/p/DSybTavko-a/
sh.ane5651,2026-01-05 22:24:19+00:00,"덴티스테 팝업 다녀왔어요. 내가 좋아하는 덴티스테 치약 샘플이랑 민트볼까지 득템~~~
🪥🪥🪥🪥🪥🪥🪥🪥🪥🪥🪥🪥
@luvdentiste #덴티스테 #덴티스테팝업 #덴티스테치약",2,0,Sidecar,"['덴티스테', '덴티스테팝업', '덴티스테치약']",https://www.instagram.com/p/DTJUmJiEi8u/
