username,comment_combined,comment_count,batches
love82lv,🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♂️ ❤️열정과 능력을 통해 희망과 즐거움을 안겨 주길 바랍니다. 무엇보다도 끝까지 최선을 다해주세요!! 의지굳고 단단한 힘을 되었으면 하는 바람으로 아자아자 파이팅~~ 아자아자 화이팅!! @rudgml9641 @hk0735love,1,
se_jin_p,"@kimd5320 🏃🏻‍♀️🏃🏻🏃🏻‍♀️🏃🏻🏃🏻‍♀️🏃🏻

@kimd5320 겨울에도 달려보쟈🏃🏻‍♀️🏃🏻",2,
ks01112,올해도 달리자!!! 🏃‍♀️🏃🏃‍♂️🏃‍♀️🏃@gyey1101,1,
limssun,💪🏃‍♀️🫶👍 @imseonai,1,
tjtjvhvh,올해도 힘차게 달려보자~~~! 🏃🏻🐎🔥🕶🤟🏻🎵,1,
greeny_hj,"🏃‍♀️🏃🏃‍♂️🔥
자외선은 여름에만 있는 게 아니고,
겨울 포함 사계절 다 있는거니까!!
피부보호 너무너무 중요해😆
러닝할 때 건강과 피부까지 챙겨가면서 새해에 더 열심히 많이 뛰러다니자!!
@zzxzero @jjuns_s @simya_parksfood @team_greendonor",1,
minvelyss,"🏃‍♀️🏃‍♂️🏃💪💪💪👏👏👏
@yyang0319",1,
jin_jongtae_kim,여전히 풀코스를 뛸수있는 심장과 다리를 유지할수 있기를 기원합니다!! 🤗👍👍👍👍🧚‍♂️🧚‍♂️🧚‍♂️🏃‍♂️‍➡️🏃,1,
kyounga0575,매일 걷기운동하자❤️. @yangseonung,1,
rkgusqls,💪💃🔥 @jyj1_208,1,
nowfit_hyo,🏃🏻‍♂️🏃‍♀️🔥👍 @_.yul_luy._ @dongyoung_29 @3_haell @hyeon99yu,1,
ato._.jo,달리기를 향한 제 열정은 캄프 선스틱도 못 막죠! 🏃‍♀️🔥💪☀️👟 끈적임 없이 산뜻하게 피부를 지켜줄 것 같아 너무 기대됩니다. 추가 증정해주시는 카밍 패드까지 받아서 완벽한 러닝 케어 해보고 싶어요! ✨💨💪🔥☀️🌈 @rowell._.1,1,
hello_my_youth_,🔥🏃🏻‍♀️🏃🏻‍♀️☀️ @soeunera9,1,
1800__g,"🏃‍♂️🔥💨
심장이 먼저 뛰고,
땀으로 한계를 넘고,
발걸음으로 내일을 당기는 중 💪✨
러닝은 지금도 계속된다!",1,
dangeun._.baby,🕺👊🏻🫡👋🏻🦶🦵🏃🏻‍♂️🏃🏼‍♀️‍➡️🏃‍➡️🏃‍♂️‍➡️ @yoonlovelee2013,1,
suj__1n,으자자🏃‍♂️🏃‍♀️‍➡️🏃‍➡️🏃‍♂️‍➡️💪💪💪 러닝이 최고 @xr_r_xl,1,
21.06.17.ing,🏃🏻🏃🏻‍♂️🏃🏻‍♀️🎽 러닝할땐 선스틱은 필수에용😍😍,1,
